timestamp_iso,frame_time_ms,fps,allocated_memory_mb,reserved_memory_mb,mono_used_mb
2026-05-09T16:01:44.647,13.51,74.0,224.77,370.02,10.25
2026-05-09T16:01:45.145,13.71,72.9,224.81,370.02,10.31
2026-05-09T16:01:45.637,13.34,75.0,224.81,372.02,10.37
2026-05-09T16:01:46.147,16.81,59.5,224.81,372.02,10.48
2026-05-09T16:01:46.652,14.80,67.6,226.88,372.02,10.55
2026-05-09T16:01:47.153,13.76,72.7,226.88,372.02,10.61
2026-05-09T16:01:47.640,12.12,82.5,226.87,372.02,9.61
2026-05-09T16:01:48.143,14.17,70.6,226.88,372.02,9.64
2026-05-09T16:01:48.643,13.66,73.2,226.88,372.02,9.69
2026-05-09T16:01:49.143,13.99,71.5,226.88,372.02,9.73
2026-05-09T16:01:49.650,13.33,75.0,226.88,372.02,9.79
2026-05-09T16:01:50.149,13.21,75.7,226.88,372.02,9.87
2026-05-09T16:01:50.650,13.58,73.7,226.88,372.02,9.93
2026-05-09T16:01:51.152,13.84,72.2,226.88,372.02,10.00
2026-05-09T16:01:51.653,13.97,71.6,226.88,372.02,10.07
2026-05-09T16:01:52.142,13.84,72.2,226.88,372.02,10.14
2026-05-09T16:01:52.642,12.44,80.4,226.88,372.02,10.22
2026-05-09T16:01:53.143,13.67,73.1,226.88,372.02,10.30
2026-05-09T16:01:53.644,12.96,77.1,226.88,372.02,10.38
2026-05-09T16:01:54.140,12.83,78.0,226.88,372.02,10.46
2026-05-09T16:01:54.640,12.11,82.6,226.88,372.02,10.54
2026-05-09T16:01:55.141,13.22,75.6,226.88,372.02,10.63
2026-05-09T16:01:55.642,13.13,76.2,226.88,372.02,10.70
2026-05-09T16:01:56.142,13.75,72.7,226.88,372.02,10.79
2026-05-09T16:01:56.647,11.60,86.2,226.88,372.02,10.87
2026-05-09T16:01:57.147,14.61,68.4,226.89,372.02,10.95
2026-05-09T16:01:57.646,13.74,72.8,226.89,372.02,11.03
2026-05-09T16:01:58.147,15.83,63.2,226.89,372.02,9.62
2026-05-09T16:01:58.646,13.84,72.3,226.87,372.02,9.63
2026-05-09T16:01:59.147,14.65,68.3,226.87,372.02,9.67
2026-05-09T16:01:59.641,12.87,77.7,226.87,372.02,9.72
2026-05-09T16:02:00.141,12.32,81.2,226.87,372.02,9.78
2026-05-09T16:02:00.642,13.98,71.6,226.87,372.02,9.84
2026-05-09T16:02:01.144,13.06,76.6,226.87,372.02,9.91
2026-05-09T16:02:01.647,13.83,72.3,226.87,372.02,9.99
2026-05-09T16:02:02.146,13.66,73.2,226.88,372.02,10.07
2026-05-09T16:02:02.643,13.23,75.6,226.88,372.02,10.15
2026-05-09T16:02:03.144,14.20,70.4,226.87,372.02,10.23
2026-05-09T16:02:03.644,13.79,72.5,226.88,372.02,10.30
2026-05-09T16:02:04.146,14.90,67.1,226.88,372.02,10.39
2026-05-09T16:02:04.647,14.80,67.6,226.88,372.02,10.48
2026-05-09T16:02:05.142,13.39,74.7,226.88,372.02,10.56
2026-05-09T16:02:05.640,11.13,89.9,226.88,372.02,10.64
2026-05-09T16:02:06.145,14.58,68.6,226.88,372.02,10.72
2026-05-09T16:02:06.645,14.43,69.3,226.88,372.02,10.79
2026-05-09T16:02:07.145,16.87,59.3,226.86,372.02,10.87
2026-05-09T16:02:07.647,12.18,82.1,226.86,372.02,10.94
2026-05-09T16:02:08.146,13.81,72.4,226.86,372.02,11.02
2026-05-09T16:02:08.645,13.37,74.8,226.86,372.02,11.10
2026-05-09T16:02:09.144,13.49,74.1,226.86,372.02,9.64
2026-05-09T16:02:09.645,12.06,82.9,226.86,372.02,9.69
2026-05-09T16:02:10.146,14.18,70.5,226.86,372.02,9.73
2026-05-09T16:02:10.646,13.39,74.7,226.86,372.02,9.79
2026-05-09T16:02:11.142,13.27,75.4,226.86,372.02,9.84
2026-05-09T16:02:11.642,12.93,77.3,226.86,372.02,9.90
2026-05-09T16:02:12.143,12.92,77.4,226.86,372.02,9.98
2026-05-09T16:02:12.643,14.37,69.6,226.86,372.02,10.05
2026-05-09T16:02:13.142,14.86,67.3,226.86,372.02,10.13
2026-05-09T16:02:13.648,13.70,73.0,226.86,372.02,10.21
