timestamp_iso,frame_time_ms,fps,allocated_memory_mb,reserved_memory_mb,mono_used_mb
2026-05-09T12:44:29.651,33.62,29.7,225.41,370.64,10.26
2026-05-09T12:44:30.174,37.31,26.8,225.54,370.64,10.28
2026-05-09T12:44:30.660,35.66,28.0,225.54,370.64,10.32
2026-05-09T12:44:31.155,22.03,45.4,225.54,372.64,10.36
2026-05-09T12:44:31.662,24.02,41.6,225.54,372.64,10.41
2026-05-09T12:44:32.166,26.33,38.0,225.54,372.64,10.46
2026-05-09T12:44:32.660,21.48,46.6,225.54,372.64,10.52
2026-05-09T12:44:33.141,19.10,52.4,225.54,372.64,10.56
2026-05-09T12:44:33.651,22.42,44.6,227.61,372.64,10.61
2026-05-09T12:44:34.162,22.90,43.7,227.61,372.64,9.58
2026-05-09T12:44:34.648,20.79,48.1,227.60,372.64,9.60
2026-05-09T12:44:35.156,20.94,47.8,227.61,372.64,9.63
2026-05-09T12:44:35.638,20.91,47.8,227.58,372.64,9.68
2026-05-09T12:44:36.138,19.24,52.0,227.58,372.64,9.73
2026-05-09T12:44:36.646,17.05,58.7,227.59,372.64,9.77
2026-05-09T12:44:37.145,13.97,71.6,227.59,372.64,9.85
2026-05-09T12:44:37.646,14.30,70.0,227.59,372.64,9.92
2026-05-09T12:44:38.134,13.98,71.5,227.59,372.64,9.99
2026-05-09T12:44:38.642,21.14,47.3,227.59,372.64,10.07
2026-05-09T12:44:39.152,18.42,54.3,227.59,372.64,10.13
2026-05-09T12:44:39.637,15.02,66.6,227.59,372.64,10.19
2026-05-09T12:44:40.135,13.41,74.6,227.59,372.64,10.26
2026-05-09T12:44:40.643,15.10,66.2,227.59,372.64,10.33
2026-05-09T12:44:41.145,13.97,71.6,227.59,372.64,10.40
2026-05-09T12:44:41.632,13.72,72.9,227.59,372.64,10.47
2026-05-09T12:44:42.134,14.55,68.7,227.59,372.64,10.55
2026-05-09T12:44:42.646,13.98,71.5,227.59,372.64,10.61
2026-05-09T12:44:43.146,17.38,57.5,227.59,372.64,10.68
2026-05-09T12:44:43.635,14.68,68.1,227.59,372.64,10.75
2026-05-09T12:44:44.139,15.14,66.1,227.59,372.64,10.81
2026-05-09T12:44:44.636,14.26,70.1,227.59,372.64,10.88
2026-05-09T12:44:45.145,14.27,70.1,227.59,372.64,10.95
2026-05-09T12:44:45.643,15.06,66.4,227.60,372.64,11.02
2026-05-09T12:44:46.133,13.68,73.1,227.60,372.64,9.61
