timestamp_iso,frame_time_ms,fps,allocated_memory_mb,reserved_memory_mb,mono_used_mb
2026-05-09T17:22:29.467,13.90,71.9,224.61,370.64,10.22
2026-05-09T17:22:29.979,14.29,70.0,224.93,370.64,10.29
2026-05-09T17:22:30.485,14.07,71.1,224.93,372.64,10.35
2026-05-09T17:22:30.981,14.57,68.6,225.53,372.64,10.42
2026-05-09T17:22:31.479,14.18,70.5,225.57,372.64,10.54
2026-05-09T17:22:31.986,13.87,72.1,227.63,372.64,9.65
2026-05-09T17:22:32.483,12.23,81.8,227.63,372.64,9.65
2026-05-09T17:22:32.983,13.64,73.3,227.63,372.64,9.68
2026-05-09T17:22:33.474,15.64,63.9,227.63,372.64,9.72
2026-05-09T17:22:33.975,13.78,72.6,227.63,372.64,9.76
2026-05-09T17:22:34.474,13.80,72.4,227.63,372.64,9.81
2026-05-09T17:22:34.985,14.48,69.1,227.63,372.64,9.87
2026-05-09T17:22:35.487,13.26,75.4,227.63,372.64,9.94
2026-05-09T17:22:35.986,14.02,71.3,227.63,372.64,10.00
2026-05-09T17:22:36.485,13.35,74.9,227.63,372.64,10.07
2026-05-09T17:22:36.974,12.71,78.7,227.63,372.64,10.14
2026-05-09T17:22:37.475,15.44,64.7,227.63,372.64,10.20
2026-05-09T17:22:37.976,13.73,72.8,227.63,372.64,10.26
2026-05-09T17:22:38.476,14.54,68.8,227.63,372.64,10.32
2026-05-09T17:22:38.976,13.19,75.8,227.63,372.64,10.39
2026-05-09T17:22:39.476,13.27,75.4,227.63,372.64,10.45
2026-05-09T17:22:39.977,13.92,71.8,227.63,372.64,10.51
2026-05-09T17:22:40.477,14.30,69.9,227.63,372.64,10.58
2026-05-09T17:22:40.976,14.61,68.5,227.63,372.64,10.64
2026-05-09T17:22:41.475,13.17,75.9,227.63,372.64,10.70
2026-05-09T17:22:41.976,13.29,75.2,227.63,372.64,10.76
2026-05-09T17:22:42.476,13.79,72.5,227.64,372.64,10.83
2026-05-09T17:22:42.975,13.37,74.8,227.63,372.64,10.89
2026-05-09T17:22:43.476,14.62,68.4,227.64,372.64,10.96
2026-05-09T17:22:43.976,12.79,78.2,227.64,372.64,11.03
2026-05-09T17:22:44.476,13.91,71.9,227.64,372.64,11.09
2026-05-09T17:22:44.976,13.64,73.3,227.64,372.64,9.68
2026-05-09T17:22:45.476,14.32,69.8,227.64,372.64,9.70
2026-05-09T17:22:45.976,12.98,77.0,227.64,372.64,9.74
2026-05-09T17:22:46.476,13.56,73.7,227.64,372.64,9.79
2026-05-09T17:22:46.977,13.00,76.9,227.64,372.64,9.82
2026-05-09T17:22:47.477,12.78,78.3,227.64,372.64,9.87
2026-05-09T17:22:47.976,14.04,71.2,227.64,372.64,9.92
2026-05-09T17:22:48.477,13.73,72.8,227.64,372.64,9.98
2026-05-09T17:22:48.977,13.45,74.3,227.64,372.64,10.04
2026-05-09T17:22:49.477,13.29,75.3,227.64,372.64,10.11
2026-05-09T17:22:49.977,13.74,72.8,227.64,372.64,10.17
2026-05-09T17:22:50.477,13.67,73.2,227.64,372.64,10.23
2026-05-09T17:22:50.977,13.61,73.5,227.64,372.64,10.29
2026-05-09T17:22:51.476,12.91,77.5,227.64,372.64,10.36
2026-05-09T17:22:51.976,12.89,77.6,227.64,372.64,10.43
2026-05-09T17:22:52.477,12.63,79.2,227.64,372.64,10.49
2026-05-09T17:22:52.977,13.84,72.2,227.64,372.64,10.55
2026-05-09T17:22:53.477,14.38,69.6,227.64,372.64,10.61
2026-05-09T17:22:53.977,13.61,73.5,227.62,372.64,10.68
2026-05-09T17:22:54.476,12.65,79.1,227.62,372.64,10.74
2026-05-09T17:22:54.977,13.38,74.7,227.62,372.64,10.80
2026-05-09T17:22:55.477,13.13,76.2,227.62,372.64,10.84
2026-05-09T17:22:55.977,13.56,73.8,227.62,372.64,10.88
2026-05-09T17:22:56.477,14.41,69.4,227.62,372.64,10.91
2026-05-09T17:22:56.977,14.57,68.6,227.62,372.64,10.95
2026-05-09T17:22:57.477,13.23,75.6,227.62,372.64,11.00
2026-05-09T17:22:57.977,13.50,74.1,227.62,372.64,11.03
2026-05-09T17:22:58.477,13.50,74.1,227.62,372.64,11.07
2026-05-09T17:22:58.977,14.26,70.1,227.62,372.64,11.11
2026-05-09T17:22:59.477,13.61,73.5,227.62,372.64,11.15
2026-05-09T17:22:59.978,13.40,74.6,227.62,372.64,9.71
2026-05-09T17:23:00.477,13.78,72.6,227.62,372.64,9.71
2026-05-09T17:23:00.977,13.54,73.9,227.62,372.64,9.71
2026-05-09T17:23:01.477,13.29,75.2,227.62,372.64,9.73
2026-05-09T17:23:01.977,13.49,74.1,227.62,372.64,9.79
2026-05-09T17:23:02.477,12.76,78.4,227.62,372.64,9.83
2026-05-09T17:23:02.978,14.43,69.3,227.62,372.64,9.87
2026-05-09T17:23:03.477,12.85,77.8,227.63,372.64,10.54
2026-05-09T17:23:03.977,13.49,74.1,227.63,372.64,10.59
2026-05-09T17:23:04.477,13.57,73.7,227.63,372.64,10.65
2026-05-09T17:23:04.977,13.92,71.8,227.64,372.64,10.71
2026-05-09T17:23:05.477,13.51,74.0,227.63,372.64,10.78
2026-05-09T17:23:05.977,13.80,72.5,227.63,372.64,10.84
2026-05-09T17:23:06.477,14.12,70.8,227.63,372.64,10.90
2026-05-09T17:23:06.977,14.77,67.7,227.63,372.64,10.96
2026-05-09T17:23:07.477,12.19,82.0,227.63,372.64,11.03
